Date,Open,High,Low,Close
2019-03-19 11:15,968.74,969.02,968.56,968.83
2019-03-19 11:00,967.83,968.74,967.83,968.74
2019-03-19 10:45,968.21,968.29,967.6,967.8
2019-03-19 10:30,967.75,968.49,967.66,968.27
2019-03-19 10:15,968.64,969.1,967.56,967.77
2019-03-19 10:00,968.65,969.03,968.53,968.67
2019-03-19 9:45,969.89,970.18,968.49,968.59
2019-03-19 9:30,971.16,971.16,969.66,969.92
2019-03-18 16:15,970.27,970.27,970.27,970.27
2019-03-18 16:00,970.27,970.27,970.27,970.27
2019-03-18 15:45,969.53,970.13,969.11,970.13
2019-03-18 15:30,968.77,969.5,968.48,969.5
2019-03-18 15:15,968.95,969.47,968.83,968.83
2019-03-18 15:00,969.17,969.32,968.79,968.97
2019-03-18 14:45,969.23,969.26,968.78,969.04
2019-03-18 14:30,969.34,969.48,969.03,969.36
2019-03-18 14:15,968.85,969.39,968.85,969.36
2019-03-18 14:00,969.32,969.39,968.83,968.85
2019-03-18 13:45,969.06,969.2,968.88,969.19
2019-03-18 13:30,968.66,969.15,968.47,969.06
2019-03-18 13:15,968.48,968.71,968.17,968.65
2019-03-18 13:00,968.09,968.47,967.95,968.47
2019-03-18 12:45,967.47,968.3,967.47,968.1
2019-03-18 12:30,966.67,967.47,966.52,967.47
2019-03-18 12:15,966.78,966.98,966.45,966.65
2019-03-18 12:00,966.19,966.77,966.12,966.76
2019-03-18 11:45,966.09,966.6,966.05,966.16
2019-03-18 11:30,965.9,966.16,965.35,966.1
2019-03-18 11:15,967.39,967.48,965.67,965.93
2019-03-18 11:00,967.61,967.64,967.37,967.46
2019-03-18 10:45,966.57,967.77,966.53,967.63
2019-03-18 10:30,966.46,966.63,965.79,966.56
2019-03-18 10:15,965.67,966.6,965.53,966.48
2019-03-18 10:00,966.01,966.6,965.55,965.6
2019-03-18 9:45,966.41,966.53,965.62,965.91
2019-03-18 9:30,963.42,966.41,963.18,966.41
2019-03-15 16:15,963.37,963.37,963.37,963.37
2019-03-15 16:00,963.32,963.37,963.32,963.37
2019-03-15 15:45,963.17,963.43,962.56,963.24
2019-03-15 15:30,962.92,963.28,962.47,963.12
2019-03-15 15:15,962.83,963.23,962.76,962.95
2019-03-15 15:00,964,964,962.84,962.84
2019-03-15 14:45,963.74,964.16,963.73,964
2019-03-15 14:30,963.62,963.85,963.53,963.76
2019-03-15 14:15,963.39,963.61,963.21,963.58
2019-03-15 14:00,963.81,963.87,963.39,963.39
2019-03-15 13:45,964.2,964.37,963.87,963.87
2019-03-15 13:30,964.37,964.41,964.18,964.23
2019-03-15 13:15,964.4,964.74,964.38,964.38
2019-03-15 13:00,965.1,965.23,964.38,964.39
2019-03-15 12:45,965.46,965.46,964.98,965.04
2019-03-15 12:30,964.65,965.48,964.65,965.45
2019-03-15 12:15,964.79,964.9,964.64,964.69
2019-03-15 12:00,964.96,964.96,964.5,964.82
2019-03-15 11:45,964.43,965.44,964.43,964.94
2019-03-15 11:30,964.05,964.42,963.6,964.41
2019-03-15 11:15,963.56,964.47,963.56,963.93
2019-03-15 11:00,964.04,964.04,963.45,963.55
2019-03-15 10:45,964.24,964.67,963.97,964.11
2019-03-15 10:30,963.92,964.24,963.56,963.86
2019-03-15 10:15,963.46,964.13,963.06,963.83
2019-03-15 10:00,964.58,964.96,963.4,963.49
2019-03-15 9:45,965,965.23,964.34,964.53
2019-03-15 9:30,964.36,965.03,962.93,965.03
2019-03-14 16:15,959.68,959.68,959.68,959.68
2019-03-14 16:00,959.68,959.68,959.68,959.68
2019-03-14 15:45,959.69,959.69,959.21,959.63
2019-03-14 15:30,959.28,959.9,959.22,959.67
2019-03-14 15:15,959.9,960.11,959.24,959.29
2019-03-14 15:00,959.5,960,959.43,959.83
2019-03-14 14:45,959.3,959.56,959.17,959.52
2019-03-14 14:30,959.47,959.52,959.17,959.27
2019-03-14 14:15,959.54,959.62,959.38,959.52
2019-03-14 14:00,959.67,959.93,959.58,959.58
2019-03-14 13:45,959.94,959.94,959.44,959.67
2019-03-14 13:30,960.13,960.34,959.96,959.96
2019-03-14 13:15,959.96,960.09,959.68,960.09
2019-03-14 13:00,960.58,960.6,959.99,959.99
2019-03-14 12:45,960.6,960.9,960.47,960.61
2019-03-14 12:30,960.5,960.66,960.39,960.59
2019-03-14 12:15,960.54,960.96,960.48,960.59
2019-03-14 12:00,960.62,960.93,960.49,960.51
2019-03-14 11:45,960.66,961.42,960.55,960.57
2019-03-14 11:30,960.15,960.58,959.79,960.41
2019-03-14 11:15,960.93,961.35,960.13,960.19
2019-03-14 11:00,960.71,961.03,959.98,960.96
2019-03-14 10:45,960.84,961.21,960.58,960.59
2019-03-14 10:30,960.45,961.12,960.01,960.89
2019-03-14 10:15,960.48,960.84,960.33,960.62
2019-03-14 10:00,961.02,961.3,960.11,960.46
2019-03-14 9:45,961.79,962.4,961.06,961.06
2019-03-14 9:30,962.42,962.99,961.09,961.87
2019-03-13 16:15,962.71,962.71,962.71,962.71
2019-03-13 16:00,962.71,962.71,962.71,962.71
2019-03-13 15:45,963.58,963.67,963.09,963.16
2019-03-13 15:30,963.29,963.93,963.17,963.66
2019-03-13 15:15,964.1,964.33,963.25,963.25
2019-03-13 15:00,964.29,964.76,964.12,964.22
2019-03-13 14:45,964.92,964.92,963.83,964.3
2019-03-13 14:30,965.47,965.47,964.78,964.93
2019-03-13 14:15,965.16,965.56,965.15,965.49
2019-03-13 14:00,964.87,965.31,964.81,965.16
2019-03-13 13:45,965.07,965.2,964.7,964.8
2019-03-13 13:30,965.28,965.63,965.07,965.13
2019-03-13 13:15,965.23,965.48,965.2,965.25
2019-03-13 13:00,965.37,965.38,965.07,965.2
2019-03-13 12:45,965.11,965.37,964.79,965.36
